split,role,count
train,EMS,474
train,Firefighter,818
train,Firefighter/EMS,122
train,Police,2624
train,Police/EMS,321
train,Police/Firefighter,272
train,Police/Firefighter/EMS,169
validation,EMS,59
validation,Firefighter,102
validation,Firefighter/EMS,16
validation,Police,328
validation,Police/EMS,40
validation,Police/Firefighter,34
validation,Police/Firefighter/EMS,21
test,EMS,60
test,Firefighter,103
test,Firefighter/EMS,15
test,Police,328
test,Police/EMS,40
test,Police/Firefighter,34
test,Police/Firefighter/EMS,21
