group_field,group_value,numeric_field,bin_label,bin_min,bin_max,count,percentage
overall,overall,reward,0-0.4,0.0,0.4,21,0.05236907730673317
overall,overall,reward,0.4-0.5,0.4,0.5,50,0.12468827930174564
overall,overall,reward,0.5-0.6,0.5,0.6,249,0.6209476309226932
overall,overall,reward,0.6-0.7,0.6,0.7,59,0.14713216957605985
overall,overall,reward,0.7-0.8,0.7,0.8,19,0.04738154613466334
overall,overall,reward,0.8-1,0.8,1.000000001,3,0.007481296758104738
overall,overall,relevance,0-0.4,0.0,0.4,0,0.0
overall,overall,relevance,0.4-0.5,0.4,0.5,0,0.0
overall,overall,relevance,0.5-0.6,0.5,0.6,9,0.022443890274314215
overall,overall,relevance,0.6-0.7,0.6,0.7,139,0.34663341645885287
overall,overall,relevance,0.7-0.8,0.7,0.8,225,0.5610972568578554
overall,overall,relevance,0.8-1,0.8,1.000000001,28,0.06982543640897755
overall,overall,factuality,0-0.4,0.0,0.4,0,0.0
overall,overall,factuality,0.4-0.5,0.4,0.5,384,0.9576059850374065
overall,overall,factuality,0.5-0.6,0.5,0.6,17,0.04239401496259352
overall,overall,factuality,0.6-0.7,0.6,0.7,0,0.0
overall,overall,factuality,0.7-0.8,0.7,0.8,0,0.0
overall,overall,factuality,0.8-1,0.8,1.000000001,0,0.0
overall,overall,role_coverage,0-0.4,0.0,0.4,46,0.11471321695760599
overall,overall,role_coverage,0.4-0.5,0.4,0.5,0,0.0
overall,overall,role_coverage,0.5-0.6,0.5,0.6,296,0.7381546134663342
overall,overall,role_coverage,0.6-0.7,0.6,0.7,0,0.0
overall,overall,role_coverage,0.7-0.8,0.7,0.8,0,0.0
overall,overall,role_coverage,0.8-1,0.8,1.000000001,59,0.14713216957605985
overall,overall,urgency,0-0.4,0.0,0.4,67,0.16708229426433915
overall,overall,urgency,0.4-0.5,0.4,0.5,101,0.2518703241895262
overall,overall,urgency,0.5-0.6,0.5,0.6,190,0.47381546134663344
overall,overall,urgency,0.6-0.7,0.6,0.7,0,0.0
overall,overall,urgency,0.7-0.8,0.7,0.8,0,0.0
overall,overall,urgency,0.8-1,0.8,1.000000001,43,0.10723192019950124
overall,overall,summary_word_count,0-10,0,10,2,0.004987531172069825
overall,overall,summary_word_count,10-20,10,20,349,0.8703241895261845
overall,overall,summary_word_count,20-30,20,30,50,0.12468827930174564
overall,overall,summary_word_count,30-40,30,40,0,0.0
overall,overall,summary_word_count,40-60,40,60,0,0.0
overall,overall,summary_word_count,60+,60,inf,0,0.0
overall,overall,summary_char_length,0-80,0,80,4,0.00997506234413965
overall,overall,summary_char_length,80-160,80,160,385,0.9600997506234414
overall,overall,summary_char_length,160-240,160,240,12,0.029925187032418952
overall,overall,summary_char_length,240-320,240,320,0,0.0
overall,overall,summary_char_length,320-480,320,480,0,0.0
overall,overall,summary_char_length,480+,480,inf,0,0.0
overall,overall,summary_sentence_count,0-1,0,1,0,0.0
overall,overall,summary_sentence_count,1-2,1,2,394,0.9825436408977556
overall,overall,summary_sentence_count,2-3,2,3,7,0.017456359102244388
overall,overall,summary_sentence_count,3-4,3,4,0,0.0
overall,overall,summary_sentence_count,4+,4,inf,0,0.0
